#Format: <DP> <Time in s> <Relative to the max value>

IP LINLIN
DP 1835487300.0 1.2e-01
DP 1835746500.0 1.2e-01
DP 1836005700.0 6.4e-02
DP 1836264900.0 6.4e-02
DP 1836524100.0 1.1e-01
DP 1836783300.0 6.6e-02
DP 1837042500.0 8.5e-02
DP 1837301700.0 6.2e-02
DP 1837560900.0 6.3e-02
DP 1837820100.0 4.3e-02
DP 1838079300.0 1.0e-01
DP 1838338500.0 0.0e+00
DP 1838597700.0 0.0e+00
DP 1838856900.0 0.0e+00
DP 1839116100.0 0.0e+00
DP 1839375300.0 0.0e+00
DP 1839634500.0 0.0e+00
DP 1839893700.0 0.0e+00
DP 1840152900.0 0.0e+00
DP 1840412100.0 7.7e-02
DP 1840671300.0 8.9e-02
DP 1840930500.0 1.1e-01
DP 1841189700.0 1.1e-01
DP 1841448900.0 3.7e-02
DP 1841708100.0 6.6e-02
DP 1841967300.0 7.8e-02
DP 1842226500.0 3.8e-02
DP 1842485700.0 3.2e-02
DP 1842744900.0 1.3e-02
DP 1843004100.0 2.6e-02
DP 1843263300.0 2.3e-02
DP 1843467255.0 2.1e-02
EN
